Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
component|բաղադրիչ
Component Platform Interface|Բաղադրիչների հենքային միջերես
compose|կազմել
composite character|բաղադրյալ գրանշան
Comprehension mode|Ըմբռնման կերպ
compress|սեղմել
compression|սեղմում
compression utility|սեղմման օժանդակ ծրագիր
computer|համակարգիչ
computer administrator|համակարգչի վարիչ
computer build report|համակարգչի հավաքման զեկույց
computer language|համակարգչային լեզու
Computer performance & health|Համակարգչի արտադրողականությունը և աշխատունակությունը
computer program|համակարգչային ծրագիր
computer security|համակարգչի անվտանգություն
computer-to-computer network|համակարգիչ-առ-համակարգիչ ցանց
concatenate|շղթայակցել
concordance file|համապատասխանության նիշք
condition|պայման
conditional|պայմանական
conditional compiler constant|պայմանական կոմպիլյատորի հաստատուն
conditional expression|պայմանական արտահայտություն
conditional format|պայմանային ձևաչափ
conditional formatting|պայմանական ձեւաչափում
cone chart|կոնաձև գծապատկեր
conference|համամիասնական կանչ
conference resource|խորհրդաժողովի միջոց
config set|կազմաձեւեր
configuration|կազմաձեւ
Configuration Manager|Կազմաձեւի կառավարիչ
configuration set|կազմաձեւեր
configure|կազմաձեւել
confirm|հաստատել
conflict|բախում
connect|կապակցել
Connect to Office 365|Կապակցել Office 365-ին
Connect with a data plan|Կապակցվել տվյալների ծրագրով
connected standby|կապակցված նիրհ
connection|կապակցում
connection|կապ
Connection Manager|կապի կառավարիչ
connection type|կապակցման տեսակ
connectivity|կապակցելիություն
connector|կապակցիչ
connector card|կապակցիչ քարտ
Connectors|Կապակցիչներ
Consistency|Հետևողականություն
constant|հաստատուն
constraint|սահմանափակում
contact|կապորդ
contact form|կոնտակտային ձև
contact group|կապորդների խումբ
Contact index|Կապորդների ցուցակ
contact info|կապորդային տվյալներ
contact information|կապորդային տվյալներ
contact linking|կապորդների կապ
contact list|կապորդների ցուցակ
contact management|կապորդների կառավարում
contact request|կապորդի հայց
Contact Support|Կապվել աջակցման կենտրոնի հետ
Contacts|Կապորդներ
container|պարունակ
content|բովանդակություն
content app|բովանդակության գործադիր
content app for Office|Office-ի համար բովանդակության գործադիր
Content by Query|Բովանդակություն հարցման հիման վրա
content card|բովանդակության քարտ
content class|պարունակության դաս
content control|բովանդակության պարագա
content library|պարունակության դարան
content master|բովանդակության հիմնօրինակ
Content Query|Բովանդակության հարցում
content rating|բովանդակության գնահատական
Content Search|Բովանդակության որոնում
content template|պարունակության ձեւանմուշ
content type|բովանդակության տեսակ
Contents|բովանդակություն
Context|Համատեքստ
context menu|համատեքստի ցանկ
context-sensitive Help|տեղային օգնություն
contextual command bar|համատեքստային հրամանագոտի
contextual menu|համատեքստային ցանկ
Contextual Spelling|Համաշարային ուղղագրում
Continuous Arrow Process|Շարունակական սլաքի ընթացք
Continuous Block Process|Շարունակական բաժնի ընթացք
continuous crawl|շարունակվող սահում
Continuous Cycle|Շարունակական շրջան
Continuous Picture List|Շարունակական նկարի ցուցակ
Continuum|Continuum
contour|ուրվագիծ
contour chart|ուրվագծային գծապատկեր
contract|համաձայնագիր
contract|պայմանագիր
contrast|ցայտունություն
contributor|աջակցող
control|հսկում
control|կառավար
control character|կառավարի գրանշան
Control key|Control ստեղն
control menu|հսկիչ ցանկ
Control Panel|Հսկիչ վահանակ
control tip|կառավարման հուշակ
Control Tools|Հսկիչ գործիքներ
Converging Arrows|Միակցող սլաքներ
Converging Radial|Զուգահեռ շառավիղ
conversation|հաղորդակցում
conversation|զրուցաշար
Conversational|Զրուցաշարային
conversion|փոխարկում
conversion item|փոխարկման միավոր
Convert to Shape|Փոխարկում ուրվաձևի
converter|փոխարկիչ
cookie|թխուկ
coordinate|կոորդինատ
coordinate pair|դիրքացույցների զույգ
COP|COP
coprocessor|համամշակիչ
copy|պատճեն
copy area|պատճենման տարածք
copyright|հեղինակային իրավունք
copyright notice|պատճենաշնորհի նշում
copyright symbol|պատճենաշնորհի նշան
core editing|հիմնական խմբագրում
Corrections|Ուղղումներ
correspondent account|թղթակից հաշիվ
corrupted|վնասված
Cortana|Cortana
Cosmos|Cosmos
counter|հաշվիչ
Counterbalance Arrows|Հակակշիռ սլաքներ
courtesy copy|պատճեն
cover|կազմ
cover letter|կազմէջ
cover photo|կազմի նկար
coworker shape|գործընկերոջ պատկեր
CPF|CPF
CPI|CPI
CPU|CPU
Credential Locker|Հավատարմագրերի պահարան
Credential Manager|Վկայականների կառավարիչ
credentials|հավատարմագրեր
credit card|վարկային քարտ
criteria|չափանիշ
Criteria pane|Չափանիշի փեղկ
critical update|վճռական արդիացում
CRM|CRM
CRM for Outlook|CRM՝ Outlook-ի համար
crop|եզրատել
cross hatch|խաչաձեւ ստվերագծում
cross-functional flowchart|միջգործառնական սխեմա
cross-site publishing|միջկայքային հրապարակում
cross-site request forgery|միջկայքային հայցերի կեղծում
crosstab query|խաչադիր հարցում
crypto agility|ծածկագրման հմտություն
crypto escrow key|պայմանական կրիպտոբանալի
CryptoAPI|ԳաղտնAPI
CryptoAPI 2.0|CryptoAPI 2.0
cryptographic agility|ծածկագրման հմտություն
Cryptography Application Programming Interface|Գաղտնագրված կիրառական ծրագրավորման միջերես
CSOM|CSOM
CSR|CSR
CSRF|CSRF
CTI|CTI
CTRL|CTRL
CTRL key|CTRL ստեղն
cube|խորանարդ
curate|ջոկել
curated by|կողմից ջոկված
curfew|արգելված ժամեր
Currency|Տարադրամ
currency symbol|տարադրամի նշան
current cell|ընթացիկ վանդակ
current region|ընթացիկ տարածք
curriculum vitae|կենսագրություն
cursor|նշորդ
custom action|հարմարեցրած գործողություն
Custom Animation list|հարմարեցված անիմացիոն ցանկ
custom calculation|հարմարեցրած հաշվարկում
custom control|հարմարեցրած գործիք
custom dialog box|հարմարեցրած երկխոսության տուփ
custom dictionary|հարմարեցրած բառացանկ
custom extraction dictionary|արտահանման հարմարեցրած բառացանկ
custom field|հարմարեցրած դաշտ
custom group|հարմարեցրած խումբ
custom group field|հարմարեցրած խմբերի դաշտ
custom install|հարմարեցրած տեղադրում
custom installation|հարմարեցրած տեղադրում
custom repeat|ոչ-կաղապարային կրկնություն
custom show|հարմարեցրած ցուցադրում
custom toolbar|հարմարեցրած գործիքագոտի
Customer Lockbox|Սպասառուների կողպատուփ
Customer Manager|Customer Manager
customer service|սպասառուների սպասարկման կենտրոն
customer support|սպասառուների աջակցման կենտրոն
customize|հարմարեցնել
cut|կտրել
CV|Ինքնակենսագրություն
CVV|CVV
cyan|մավի
CyberSource Corp|CyberSource Corp
Cycle|Շրջան
cycle chart|շրջանաձև գծապատկեր
cycle diagram|շրջանաձև գծապատկեր
Cycle Matrix|Շրջանային մատրիցա
cylinder chart|գլանի գծապատկեր
cylindrical projection|գլանային պրոեկցիա
dagger|դաշույն
Daily Task List|Օրվա գործերի ցանկ
DAO|DAO
dash|գծիկ
dashboard|կառավահան
data|տվյալ
Data & analytics|Տվյալներ և վերլուծական
Data Access Objects|Data Access Objects
Data Analysis|Տվյալների վերլուծություն
